var1,var2,correlacao,abs_corr
FLAG_var_17,var_17_None,-1.0000000000000004,1.0000000000000004
FLAG_var_17,var_15_None,-1.0000000000000004,1.0000000000000004
var_17_None,FLAG_var_15,-1.0000000000000004,1.0000000000000004
var_15_None,FLAG_var_15,-1.0000000000000004,1.0000000000000004
FLAG_var_17,FLAG_var_15,1.0,1.0
var_17_None,var_15_None,1.0,1.0
flag_mig2_Aquisição,flag_mig2_PRE,-0.9966441203402621,0.9966441203402621
var_15_None,var_17_202311,-0.8823714821874672,0.8823714821874672
var_17_None,var_17_202311,-0.8823714821874672,0.8823714821874672
FLAG_var_17,var_17_202311,0.8823714821874667,0.8823714821874667
FLAG_var_15,var_17_202311,0.8823714821874667,0.8823714821874667
