feature,coeficiente,erro_padrao,p_value,significativo,odds_ratio,pontos_por_unidade,impacto_1_desvio,descricao_negocio,pct_contribuicao
const,-1.3192788255966308,0.0023205800915762015,0.0,True,0.2673280225921031,26.39,26.39,Score base (0% risco),41.0
SCORE_02,-0.8401488194114042,0.004174477986782574,0.0,True,0.43164628130344224,16.8,16.8,Bureau Score 02 (MENOR),26.11
SCORE_01,-0.29671061739137466,0.004979139919068213,0.0,True,0.743259067491667,5.93,5.93,Bureau Score 01 (MENOR),9.22
var_93,-0.2478723939070977,0.01579440817107451,1.6708101434416358e-55,True,0.7804595283151471,4.96,4.96,Comportamento Telco var_93 (MENOR),7.7
var_17_None,-0.21519950943744992,0.009725419177012976,1.7172791303808543e-108,True,0.8063805435990437,4.3,4.3,Comportamento Telco var_17_None (MENOR),6.69
flag_mig2_PRE,0.1739229463969794,0.01672675262614294,2.534819369401512e-25,True,1.189963871283964,-3.48,3.48,Comportamento Telco flag_mig2_PRE (MAIOR),5.4
var_35,0.1009300721299854,0.008325485512358807,7.975951368107034e-34,True,1.10619928489895,-2.02,2.02,Comportamento Telco var_35 (MAIOR),3.14
var_04_0,-0.0240180982618989,0.01483293988431628,0.10539550875747468,False,0.9762680408433347,0.48,0.48,Comportamento Telco var_04_0 (MENOR),0.75
