Metric,Train,Validation,Delta
KS,0.275117206982041,0.25842156623120127,-0.016695640750839735
AUC,0.6791521618913563,0.6689026841310147,-0.010249477760341574
GINI,0.3583043237827126,0.33780536826202945,-0.02049895552068315
