,Beta_Coefficient,P_Value,Wald_Statistic,Odds_Ratio,Significativo
const,-1.4276788455108615,0.0,368753.2545620717,0.239865040391293,True
SCORE_01,-0.6137448271425824,0.0,58053.78587165146,0.5413199191437141,True
