feature,coef,std_err,z_score,p_value,odds_ratio
SCORE_01,-0.6137448271425824,0.002547255868123578,-240.94353253750444,0.0,0.5413199191437141
const,-1.4276788455108615,0.002351053941216264,-607.2505698326447,0.0,0.239865040391293
