Métrica,Treino,Validação,Delta
KS,0.3277792057119676,0.3141206015782538,-0.013658604133713836
AUC,0.716504603090182,0.7080214600499196,-0.00848314304026243
GINI,0.4330092061803641,0.41604292009983923,-0.01696628608052486
Taxa Média,0.20740946759175363,0.20843197141704603,0.001022503825292398
