,Beta_Coefficient,P_Value,Wald_Statistic,Odds_Ratio,Significativo
const,-1.5285993768055792,0.0,360242.132607004,0.21683916468718262,True
SCORE_02,-0.7334725144645635,0.0,57190.070636521115,0.480238456306532,True
SCORE_01,-0.15183764738000666,0.0,2799.2635301053174,0.8591277510604249,True
