Metric,Train,Validation,Delta
KS,0.3289081514392382,0.3155977645184979,-0.01331038692074027
AUC,0.7204951530571984,0.71251544043496,-0.0079797126222384
GINI,0.4409903061143967,0.4250308808699199,-0.0159594252444768
