feature,coef,std_err,z_score,p_value,odds_ratio
SCORE_01,-0.15183764738000666,0.002869839263250354,-52.908066777244066,0.0,0.8591277510604249
SCORE_02,-0.7334725144645635,0.003067068867115043,-239.1444555839025,0.0,0.480238456306532
const,-1.5285993768055792,0.0025468092920128958,-600.2017432555524,0.0,0.21683916468718262
